model,test_set,records,rouge1_f1,rouge2_f1,bertscore_f1,normalized_exact_match,two_distinct_alternatives_rate,automatic_structured_consistency_rate,currency_consistency_rate,amount_consistency_rate,temporal_consistency_rate,beneficiary_mention_rate,calendar_context_reflection_rate
LFM2-700M,GPTPlus,500,0.3144796058410327,0.18652787990064335,0.8006139785647393,0.006,0.748,0.956,1.0,0.98,0.992,0.416,0.61
LFM2-700M,Claude,500,0.21594764727276572,0.08627187021123857,0.7962999560832977,0.0,0.758,0.952,0.998,0.964,0.994,0.388,0.6
LFM2-700M_GPTPlus-DS,GPTPlus,500,0.6000761853759427,0.491639494407182,0.8889205700159073,0.24,0.908,0.838,1.0,0.838,1.0,0.3,0.98
LFM2-700M_GPTPlus-DS,Claude,500,0.3719228362937614,0.18121342298924584,0.8580402700304985,0.02,0.882,0.804,1.0,0.806,0.998,0.168,0.93
LFM2-700M_Claude-DS,GPTPlus,500,0.46857039435173514,0.2843632222520225,0.8707065156698227,0.024,0.948,0.966,1.0,0.968,0.998,0.274,0.92
LFM2-700M_Claude-DS,Claude,500,0.5383090855331293,0.3235108485525068,0.882645779311657,0.101,0.912,0.974,1.0,0.978,1.0,0.146,0.95
