model,test_set,activity_type,records,rouge1_f1,rouge2_f1,bertscore_f1,normalized_exact_match,two_distinct_alternatives_rate,automatic_structured_consistency_rate
LFM2-700M_Few-Shot-Native-Chat,GPTPlus,COMPLETION,150,0.5348184702008232,0.30302368002368,0.903021465142568,0.02666666666666667,1.0,0.9333333333333333
LFM2-700M_Few-Shot-Native-Chat,GPTPlus,GENERATION,200,0.4326446817071817,0.2093193195693196,0.883566544353962,0.0,1.0,0.93
LFM2-700M_Few-Shot-Native-Chat,GPTPlus,NORMALIZATION,150,0.5875295779212188,0.34745057934841217,0.9065223354101181,0.006666666666666667,1.0,0.8866666666666667
LFM2-700M_Few-Shot-Native-Chat,Claude,COMPLETION,150,0.4878256465756466,0.2452144892144892,0.8886853679021199,0.02666666666666667,1.0,0.8866666666666667
LFM2-700M_Few-Shot-Native-Chat,Claude,GENERATION,200,0.4538194236319237,0.2104223692973693,0.8874602581560612,0.015,1.0,0.955
LFM2-700M_Few-Shot-Native-Chat,Claude,NORMALIZATION,150,0.519980573978252,0.279693299075652,0.8875630090634028,0.02,1.0,0.7866666666666666
