model,test_set,records,rouge1_f1,rouge2_f1,bertscore_f1,normalized_exact_match,two_distinct_alternatives_rate,automatic_structured_consistency_rate,currency_consistency_rate,amount_consistency_rate,temporal_consistency_rate,beneficiary_mention_rate,calendar_context_reflection_rate
LFM2-700M,GPTPlus,500,0.27659760006246603,0.12868036880509282,0.685676748931408,0.001,0.742,0.66,0.904,0.728,0.804,0.69,0.92
LFM2-700M,Claude,500,0.1400363122132664,0.05121577006413983,0.6737574989199638,0.0,0.746,0.69,0.914,0.756,0.828,0.734,0.94
LFM2-700M_GPTPlus-DS,GPTPlus,500,0.8393166720448454,0.7648220859206153,0.9640905940532685,0.608,1.0,0.998,1.0,0.998,1.0,0.508,1.0
LFM2-700M_GPTPlus-DS,Claude,500,0.5083053243024606,0.26239299621946677,0.8895393486618995,0.04,0.996,1.0,1.0,1.0,1.0,0.314,1.0
LFM2-700M_Claude-DS,GPTPlus,500,0.5089734509212838,0.31332301473036767,0.8921267647743225,0.05,0.986,1.0,1.0,1.0,1.0,0.35,1.0
LFM2-700M_Claude-DS,Claude,500,0.693167063655299,0.5120546509046509,0.9323949081897736,0.255,0.99,1.0,1.0,1.0,1.0,0.116,1.0
